,S.No,Comments,Label,enc_label,Label_hate,Label_non-hate,cleaned,transliterated_text
857,HATE_1858,Reel Life lo jaruguthay anukunnam రియల్ లైఫ్ కుడా జరుగుతాయని ఎప్పుడు తెలిసిందే సూపర్,non-hate,1,0.0,1.0,Reel Life lo jaruguthay anukunnam రియల్ లైఫ్ కుడా జరుగుతాయని ఎప్పుడు తెలిసిందే సూపర్,రీల్ లైఫ్ లో జరుగుతాయ్ అనుకున్నాం రియల్ లైఫ్ కుడా జరుగుతాయని ఎప్పుడు తెలిసిందే సూపర్
858,HATE_1859,పక్కవాడు గొప్పవాడు ఐతే ఇలాంటి ఎడ్చుకునేవాల్లు ఎల్లప్పుడూ ఎడ్చుకునే వుంటారు.,hate,0,1.0,0.0,పక్కవాడు గొప్పవాడు ఐతే ఇలాంటి ఎడ్చుకునేవాల్లు ఎల్లప్పుడూ ఎడ్చుకునే వుంటారు,పక్కవాడు గొప్పవాడు ఐతే ఇలాంటి ఎడ్చుకునేవాల్లు ఎల్లప్పుడూ ఎడ్చుకునే వుంటారు
859,HATE_1860,ఇటువంటి ఫేక్ కాల్స్ చాలామంది చేస్తూ ఉంటారు ఎవరు నెంబర్ చెప్పి ఇబ్బంది పెడుతుంటారు ఇటువంటి వాళ్ళకు పైన కేసు పెట్టి లోపట పడేవ్వాలి సార్ అనిల్ కుమార్ యాదవ్ గారు ఎమ్మెల్యే దేనికి తగ్గాల్సిన అవసరం లేదు వాళ్ళు ఎవరో చూసి వాళ్ళ పైన కఠిన చర్యలు తీసుకోవాలి అప్పుడే నీ పైన ఉన్న మచ్చ తోలుతుంది సార్,non-hate,1,0.0,1.0,ఇటువంటి ఫేక్ కాల్స్ చాలామంది చేస్తూ ఉంటారు ఎవరు నెంబర్ చెప్పి ఇబ్బంది పెడుతుంటారు ఇటువంటి వాళ్ళకు పైన కేసు పెట్టి లోపట పడేవ్వాలి సార్ అనిల్ కుమార్ యాదవ్ గారు ఎమ్మెల్యే దేనికి తగ్గాల్సిన అవసరం లేదు వాళ్ళు ఎవరో చూసి వాళ్ళ పైన కఠిన చర్యలు తీసుకోవాలి అప్పుడే నీ పైన ఉన్న మచ్చ తోలుతుంది సార్,ఇటువంటి ఫేక్ కాల్స్ చాలామంది చేస్తూ ఉంటారు ఎవరు నెంబర్ చెప్పి ఇబ్బంది పెడుతుంటారు ఇటువంటి వాళ్ళకు పైన కేసు పెట్టి లోపట పడేవ్వాలి సార్ అనిల్ కుమార్ యాదవ్ గారు ఎమ్మెల్యే దేనికి తగ్గాల్సిన అవసరం లేదు వాళ్ళు ఎవరో చూసి వాళ్ళ పైన కఠిన చర్యలు తీసుకోవాలి అప్పుడే నీ పైన ఉన్న మచ్చ తోలుతుంది సార్
860,HATE_1861,ఎంత క్లారిటీగా ఇంత వివరంగా చెప్పేవాడు ఎవరూ లేరు .100% కరెక్ట్ గా చెప్పారు,non-hate,1,0.0,1.0,ఎంత క్లారిటీగా ఇంత వివరంగా చెప్పేవాడు ఎవరూ లేరు 100 కరెక్ట్ గా చెప్పారు,ఎంత క్లారిటీగా ఇంత వివరంగా చెప్పేవాడు ఎవరూ లేరు ౧౦౦ కరెక్ట్ గా చెప్పారు
861,HATE_1862,వర్మ గారు చెప్పింది 100 శాతం నిజం. పరిశ్రమలో జరిగేది వేరు... మనదాకా వచ్చే విషయం వేరు. రాంగోపాల్ వర్మ గారు సామాన్యుడికి అర్ధమయ్యేలా అన్ని చాలా బాగా చెప్పారు.,non-hate,1,0.0,1.0,వర్మ గారు చెప్పింది 100 శాతం నిజం పరిశ్రమలో జరిగేది వేరు మనదాకా వచ్చే విషయం వేరు రాంగోపాల్ వర్మ గారు సామాన్యుడికి అర్ధమయ్యేలా అన్ని చాలా బాగా చెప్పారు,వర్మ గారు చెప్పింది ౧౦౦ శాతం నిజం పరిశ్రమలో జరిగేది వేరు మనదాకా వచ్చే విషయం వేరు రాంగోపాల్ వర్మ గారు సామాన్యుడికి అర్ధమయ్యేలా అన్ని చాలా బాగా చెప్పారు
862,HATE_1863,mallanna tappudu darlo vellaku. oka melu jarigetappudu konni vishayalu oppukovali. mana paruvu Manam teesukundam entavaraku correct.  Kcr bathroom biryani gurinchi telisi kuda chala mandi peddalu niraharadeeksha ni munduku techaru kada . jarige melu telusuko.adi andariki manchidi,hate,0,1.0,0.0,mallanna tappudu darlo vellaku oka melu jarigetappudu konni vishayalu oppukovali mana paruvu Manam teesukundam entavaraku correct Kcr bathroom biryani gurinchi telisi kuda chala mandi peddalu niraharadeeksha ni munduku techaru kada jarige melu telusukoadi andariki manchidi,మల్లన్న తప్పుడు దార్లో వెళ్లకు ఒక మేలు జరిగేటప్పుడు కొన్ని విషయాలు ఒప్పుకోవాలి మన పరువు మనం తీసుకుందాం ఎంతవరకు కరెక్ట్ కేసీఆర్ బాత్రూమ్ బిర్యానీ గురించి తెలిసి కూడా చాలా మంది పెద్దలు నిరాహారదీక్ష ని ముందుకు తెచారు కాడ జరిగే మేలు తెలుసుకోడి అందరికి మంచిది
863,HATE_1864,Ambedkar gari gopathanam gurinchi chepaka ne carector nachindhi mallana good,non-hate,1,0.0,1.0,Ambedkar gari gopathanam gurinchi chepaka ne carector nachindhi mallana good,అంబేద్కర్ గారి గోపతనం గురించి చేపక నే కేరెక్టర్ నచ్చింది మల్లన గుడ్
864,HATE_1865,Antha vadaina kani awaru aina sare antha dabbu una time osthe anthe only good karma can help you in delaying things anthe,non-hate,1,0.0,1.0,Antha vadaina kani awaru aina sare antha dabbu una time osthe anthe only good karma can help you in delaying things anthe,అంత వాడైనా కని అవరు అయినా సరే అంత డబ్బు ఉన టైమ్ వస్తే అంతే ఓన్లీ గుడ్ కర్మ క్యాన్ హెల్ప్ యూ ఇన్ డిలేయింగ్ థింగ్స్ అంతే
865,HATE_1866,అవసరాల కోసం దారులు తొక్కే పాత్రలు అనే దానికి ఉదాహరణ ఈమె జీవితం,hate,0,1.0,0.0,అవసరాల కోసం దారులు తొక్కే పాత్రలు అనే దానికి ఉదాహరణ ఈమె జీవితం,అవసరాల కోసం దారులు తొక్కే పాత్రలు అనే దానికి ఉదాహరణ ఈమె జీవితం
866,HATE_1867,నువ్వు మహా పతివ్రత వి. అందుకే అన్న గారి కుటుంబాన్ని ఇంతల వీధి లో పెట్టావు. Same నీ లాగే ఆ ఇంటికి వచ్చిన ఇల్లాలు హరికృష్ణ రెండో భార్య shalini ఈ రోజుకి కూడా NTR ఫ్యామిలీ గురించి ఒక్క ఇంటర్వ్యూ కూడా ఇవ్వ లేదు ఆ మహా ఇల్లాలు Jr.NTR తల్లి గారు. ఆవిడ చేతులు ఎత్తి నమస్కారం చేసే అర్హత గల ఆవిడ,hate,0,1.0,0.0,నువ్వు మహా పతివ్రత వి అందుకే అన్న గారి కుటుంబాన్ని ఇంతల వీధి లో పెట్టావు Same నీ లాగే ఆ ఇంటికి వచ్చిన ఇల్లాలు హరికృష్ణ రెండో భార్య shalini ఈ రోజుకి కూడా NTR ఫ్యామిలీ గురించి ఒక్క ఇంటర్వ్యూ కూడా ఇవ్వ లేదు ఆ మహా ఇల్లాలు JrNTR తల్లి గారు ఆవిడ చేతులు ఎత్తి నమస్కారం చేసే అర్హత గల ఆవిడ,నువ్వు మహా పతివ్రత వి అందుకే అన్న గారి కుటుంబాన్ని ఇంతల వీధి లో పెట్టావు సేమ్ నీ లాగే ఆ ఇంటికి వచ్చిన ఇల్లాలు హరికృష్ణ రెండో భార్య శాలిని ఈ రోజుకి కూడా న్తర్ ఫ్యామిలీ గురించి ఒక్క ఇంటర్వ్యూ కూడా ఇవ్వ లేదు ఆ మహా ఇల్లాలు జేఆర్ఎంటీఆర్ తల్లి గారు ఆవిడ చేతులు ఎత్తి నమస్కారం చేసే అర్హత గల ఆవిడ
867,HATE_1868,దేవుడు మీద ప్రమాణం చేసి అంతా నిజం చెపుతా.మాయ లేడివి. మహమ్మారివి.,hate,0,1.0,0.0,దేవుడు మీద ప్రమాణం చేసి అంతా నిజం చెపుతామాయ లేడివి మహమ్మారివి,దేవుడు మీద ప్రమాణం చేసి అంతా నిజం చెపుతామాయ లేడివి మహమ్మారివి
868,HATE_1869,NTR గారి జీవిత చరిత్ర రాస్తా అని చెప్పి ఆయన జీవితాన్నే మార్చేసావ్ కదే తల్లి  Bad చాప్టర్ ఇన్ NTR లైఫ్.,hate,0,1.0,0.0,NTR గారి జీవిత చరిత్ర రాస్తా అని చెప్పి ఆయన జీవితాన్నే మార్చేసావ్ కదే తల్లి Bad చాప్టర్ ఇన్ NTR లైఫ్,న్తర్ గారి జీవిత చరిత్ర రాస్తా అని చెప్పి ఆయన జీవితాన్నే మార్చేసావ్ కదే తల్లి బాడ్ చాప్టర్ ఇన్ న్తర్ లైఫ్
869,HATE_1870,NTR film same Lakshmi garu chepinattu tisaru.. real story. Am extra topics add cheyaled. Jai RGV. NTR story mothm lakshmis ntr lo poorthi ga chupincharu. Jai NTR,non-hate,1,0.0,1.0,NTR film same Lakshmi garu chepinattu tisaru real story Am extra topics add cheyaled Jai RGV NTR story mothm lakshmis ntr lo poorthi ga chupincharu Jai NTR,న్తర్ ఫిల్మ్ సేమ్ లక్ష్మీ గారు చేపినట్టు తీశారు రియల్ స్టోరీ ఏఎం ఎక్స్ట్రా టాపిక్స్ అడ్ చేయలేడ్ జై ఆర్జీవీ న్తర్ స్టోరీ మోత్మ్ లక్ష్మీస్ న్తర్ లో పూర్తి గా చూపించారు జై న్తర్
870,HATE_1871,ఏదీ ఏమైనా  వృధాప్యంలో ntr గారి అవసరం మీ జీవితాన్ని చీకటి బిలం చేసింది,non-hate,1,0.0,1.0,ఏదీ ఏమైనా వృధాప్యంలో ntr గారి అవసరం మీ జీవితాన్ని చీకటి బిలం చేసింది,ఏదీ ఏమైనా వృధాప్యంలో న్తర్ గారి అవసరం మీ జీవితాన్ని చీకటి బిలం చేసింది
871,HATE_1872,నేను ఓపెనహార్ట్ విత్ RK తప్పక చూస్తుంటా.  ఇంత దరిద్రపు ఇంటర్వ్యూ పెట్టకుండా వుండాల్సింది.  తేనె పూసినకత్తి,hate,0,1.0,0.0,నేను ఓపెనహార్ట్ విత్ RK తప్పక చూస్తుంటా ఇంత దరిద్రపు ఇంటర్వ్యూ పెట్టకుండా వుండాల్సింది తేనె పూసినకత్తి,నేను ఓపెనహార్ట్ విత్ ర్క్ తప్పక చూస్తుంటా ఇంత దరిద్రపు ఇంటర్వ్యూ పెట్టకుండా వుండాల్సింది తేనె పూసినకత్తి
872,HATE_1873,Devudu lanti manishini cheda dobbataniki anni times kalavataniki try chesava....... Niku dandam thalli God lanti manishi life history lo oka mark laga unnav.....,hate,0,1.0,0.0,Devudu lanti manishini cheda dobbataniki anni times kalavataniki try chesava Niku dandam thalli God lanti manishi life history lo oka mark laga unnav,దేవుడు లాంటి మనిషిని చెడ దొబ్బటానికి అన్ని టైమ్స్ కలవటానికి ట్రై చేశావా నికు దండం తల్లి గాడ్ లాంటి మనిషి లైఫ్ హిస్టరీ లో ఒక మార్క్ లాగా ఉన్నావ్
873,HATE_1874,"హరికథలు, బుర్రకథలు చెబుతాను అని వచ్చి  ఎంత పనిచేసేవు....",hate,0,1.0,0.0,హరికథలు బుర్రకథలు చెబుతాను అని వచ్చి ఎంత పనిచేసేవు,హరికథలు బుర్రకథలు చెబుతాను అని వచ్చి ఎంత పనిచేసేవు
874,HATE_1875,"Mahanati nuvvu swardaparuraluvi.anta gowravam unte kuturila,marochu.kaani kattukonna mogudini vadhilesavu.modati mogutu kooda vadelesav.swardam kosam NTR garini mabbipatti manchidanila natinchi mosamchesav",hate,0,1.0,0.0,Mahanati nuvvu swardaparuraluvianta gowravam unte kuturilamarochukaani kattukonna mogudini vadhilesavumodati mogutu kooda vadelesavswardam kosam NTR garini mabbipatti manchidanila natinchi mosamchesav,మహానటి నువ్వు స్వర్దపరురాలువిఅంత గౌరవం ఉంటే కుతురిలమరొచ్చుకాని కట్టుకొన్న మొగుడిని వధిలేశావుమొదటి మోగుతూ కూడ వదేలేశవ్స్వర్దం కోసం న్తర్ గారిని మబ్బిపట్టి మంచిదానిలా నటించి మోసంచేశావ్
875,HATE_1876,Sir Meru elanti varitho interview cheyaddu,hate,0,1.0,0.0,Sir Meru elanti varitho interview cheyaddu,సిర్ మేరు ఎలాంటి వరితో ఇంటర్వ్యూ చేయద్దు
876,HATE_1877,అన్నా నెక్స్ట్ మూవీ ఇంకా గట్టిగా కొట్టాలి... ఆల్ ది బెస్ట్,non-hate,1,0.0,1.0,అన్నా నెక్స్ట్ మూవీ ఇంకా గట్టిగా కొట్టాలి ఆల్ ది బెస్ట్,అన్నా నెక్స్ట్ మూవీ ఇంకా గట్టిగా కొట్టాలి ఆల్ ది బెస్ట్
877,HATE_1878,"డెవిల్ మూవీ కూడా Blockbuster నీకింకా తప్పదు దిగ్విజయం... నందమూరి 3 స్టార్స్  జై ఎన్టీఆర్, జై బాలయ్య, జై రామ్...... జై నందమూరి",non-hate,1,0.0,1.0,డెవిల్ మూవీ కూడా Blockbuster నీకింకా తప్పదు దిగ్విజయం నందమూరి 3 స్టార్స్ జై ఎన్టీఆర్ జై బాలయ్య జై రామ్ జై నందమూరి,డెవిల్ మూవీ కూడా బ్లాక్బస్టర్ నీకింకా తప్పదు దిగ్విజయం నందమూరి ౩ స్టార్స్ జై ఎన్టీఆర్ జై బాలయ్య జై రామ్ జై నందమూరి
878,HATE_1879,Asalu nuvu kothavallani baga support chestavu anna ni movies baga adali,non-hate,1,0.0,1.0,Asalu nuvu kothavallani baga support chestavu anna ni movies baga adali,అసలు నువు కొత్తవాళ్లని బాగా సపోర్ట్ చేస్తావు అన్న ని మూవీస్ బాగా ఆడాలి
879,HATE_1880,"Interview chesina Murthy gariki naa abhinandanalu, chaala samskaaram ga chesaru",non-hate,1,0.0,1.0,Interview chesina Murthy gariki naa abhinandanalu chaala samskaaram ga chesaru,ఇంటర్వ్యూ చేసిన మూర్తి గారికి నా అభినందనలు చాల సంస్కారం గా చేశారు
880,HATE_1881,నిజంగా మన నందమూరి ఫ్యాన్స్ వాళ్ళ కోసం ప్రాణాలైనా ఇస్తాం కానీ మన హీరోలు అసలు  మనల్ని  పఠియించుకోరు దీనికి  బెస్ట్ ,non-hate,1,0.0,1.0,నిజంగా మన నందమూరి ఫ్యాన్స్ వాళ్ళ కోసం ప్రాణాలైనా ఇస్తాం కానీ మన హీరోలు అసలు మనల్ని పఠియించుకోరు దీనికి బెస్ట్,నిజంగా మన నందమూరి ఫ్యాన్స్ వాళ్ళ కోసం ప్రాణాలైనా ఇస్తాం కానీ మన హీరోలు అసలు మనల్ని పఠియించుకోరు దీనికి బెస్ట్
881,HATE_1882,Ee madya kaalamlo vochina films lo naaku idhi baaga nachindi,non-hate,1,0.0,1.0,Ee madya kaalamlo vochina films lo naaku idhi baaga nachindi,ఈ మద్య కాలంలో వోచిన ఫిల్మ్స్ లో నాకు ఇది బాగ నచ్చింది
882,HATE_1883,E movie Gurinchi okkadu negative ga matladina vaadu terrorist ayyi undali..,non-hate,1,0.0,1.0,E movie Gurinchi okkadu negative ga matladina vaadu terrorist ayyi undali,ఇ మూవీ గురించి ఒక్కడు నెగెటివ్ గా మాట్లాడిన వాడు టెర్రరిస్ట్ అయ్యి ఉండాలి
883,HATE_1884,సుమ నీ ఓవర్ యాక్షన్ తగించుకో లేకుంటే కథ వేరే,hate,0,1.0,0.0,సుమ నీ ఓవర్ యాక్షన్ తగించుకో లేకుంటే కథ వేరే,సుమ నీ ఓవర్ యాక్షన్ తగించుకో లేకుంటే కథ వేరే
884,HATE_1885,దొంగలు దొంగలు కొట్టుకు  కుంటారు అంటే ఏందో అనుకున్నా  అది ఏందో ఈరోజు మీ అసెంబ్లీలో మీరు మాట్లాడే మాటలు యావత్ తెలంగాణ ప్రజలు గమనిస్తున్నారు ....,hate,0,1.0,0.0,దొంగలు దొంగలు కొట్టుకు కుంటారు అంటే ఏందో అనుకున్నా అది ఏందో ఈరోజు మీ అసెంబ్లీలో మీరు మాట్లాడే మాటలు యావత్ తెలంగాణ ప్రజలు గమనిస్తున్నారు,దొంగలు దొంగలు కొట్టుకు కుంటారు అంటే ఏందో అనుకున్నా అది ఏందో ఈరోజు మీ అసెంబ్లీలో మీరు మాట్లాడే మాటలు యావత్ తెలంగాణ ప్రజలు గమనిస్తున్నారు
885,HATE_1886,KCR Vi Anni Commission Padhakaale. Kaaleswaram Praject KCR Ku ATM. Kaaleswaram Praject Etthipothala Padhakam Kaadhu Thippipothala Padhakam  Raithu Bandhu Raabandhula Bandhu Vandhala Ekaraalu Unnavaariki Raithu Bandhu Esthunnaadu KCR,non-hate,1,0.0,1.0,KCR Vi Anni Commission Padhakaale Kaaleswaram Praject KCR Ku ATM Kaaleswaram Praject Etthipothala Padhakam Kaadhu Thippipothala Padhakam Raithu Bandhu Raabandhula Bandhu Vandhala Ekaraalu Unnavaariki Raithu Bandhu Esthunnaadu KCR,కేసీఆర్ వి అన్ని కమిషన్ పథకాలే కాళేశ్వరం ప్రాజెక్ట్ కేసీఆర్ కు ఏటీఎం కాళేశ్వరం ప్రాజెక్ట్ ఎత్తిపోతల పథకం కాదు తిప్పిపోతల పథకం రైతు బంధు రాబంధుల బంధు వందల ఎకరాలు ఉన్నవారికి రైతు బంధు ఇస్తున్నాడు కేసీఆర్
886,HATE_1887,అదే సీబీఐ అంటే కచరాలకు ఎందుకు బయం,hate,0,1.0,0.0,అదే సీబీఐ అంటే కచరాలకు ఎందుకు బయం,అదే సీబీఐ అంటే కచరాలకు ఎందుకు బయం
887,HATE_1888,Nv sakkaga matladutunava KTR. TRS lo unnavallu evadu sakkaga matladuthunduuu,hate,0,1.0,0.0,Nv sakkaga matladutunava KTR TRS lo unnavallu evadu sakkaga matladuthunduuu,ఎన్వీ సక్కగా మాట్లాడుతునవా కేటీఆర్ ట్రెస్ లో ఉన్నవాళ్లు ఎవడు సక్కగా మాట్లాడుతుందూ
888,HATE_1889,Telangana vachinde telangana students chanepovadam vallameto kadu trs,hate,0,1.0,0.0,Telangana vachinde telangana students chanepovadam vallameto kadu trs,తెలంగాణ వచ్చిందే తెలంగాణ స్టూడెంట్స్ చనేపోవడం వల్లమేతో కాదు ట్రెస్
889,HATE_1890,Sollu vagadam ee sollu brothers komatireddy rajagopal garu nd co bro alavatu....! KTR very dynamic nd briliiant leader in India,hate,0,1.0,0.0,Sollu vagadam ee sollu brothers komatireddy rajagopal garu nd co bro alavatu KTR very dynamic nd briliiant leader in India,సొల్లు వాగడం ఈ సొల్లు బ్రదర్స్ కోమటిరెడ్డి రాజగోపాల్ గారు న్ద్ కో బ్రో అలవాటు కేటీఆర్ వెరీ డైనమిక్ న్ద్ బ్రిలియంట్ లీడర్ ఇన్ ఇండియా
890,HATE_1891,doralu antene chathagalu west doralu siguledhu kkr and kcr,hate,0,1.0,0.0,doralu antene chathagalu west doralu siguledhu kkr and kcr,దొరలు అంటేనే చాతగలు వెస్ట్ దొరలు సిగులేదు కేకేఆర్ అండ్ కేసీఆర్
891,HATE_1892,పద్ధతుల గురించి మీరు మాట్లాడాటం ఏంటి రా హౌలే కేటీర్,hate,0,1.0,0.0,పద్ధతుల గురించి మీరు మాట్లాడాటం ఏంటి రా హౌలే కేటీర్,పద్ధతుల గురించి మీరు మాట్లాడాటం ఏంటి రా హౌలే కేటీర్
892,HATE_1893,Rajgopal reddy sir miru super,non-hate,1,0.0,1.0,Rajgopal reddy sir miru super,రాజగోపాల్ రెడ్డి సిర్ మీరు సూపర్
893,HATE_1894,TRS donga party,hate,0,1.0,0.0,TRS donga party,ట్రెస్ దొంగ పార్టీ
894,HATE_1895,Rajagopal neeku ethics levu,hate,0,1.0,0.0,Rajagopal neeku ethics levu,రాజగోపాల్ నీకు ఎథిక్స్ లేవు
895,HATE_1896,Ktr baluputo matladutundu,hate,0,1.0,0.0,Ktr baluputo matladutundu,కేటీఆర్ బలుపుతో మాట్లాడుతుండు
896,HATE_1897,Aagandi KTR garu mundundi musalla pandaga,hate,0,1.0,0.0,Aagandi KTR garu mundundi musalla pandaga,ఆగండి కేటీఆర్ గారు ముందుంది ముసళ్ల పండగ
897,HATE_1898,Arey ktr motham dochukondira me family nasnam aipotharu ra Sochi andi Homa lu cheyandi… me family nasnam aipotharu,hate,0,1.0,0.0,Arey ktr motham dochukondira me family nasnam aipotharu ra Sochi andi Homa lu cheyandi… me family nasnam aipotharu,అరే కేటీఆర్ మొత్తం దోచుకోండిరా మే ఫ్యామిలీ నస్నం అయిపోతారు రా సోచి అంది హోమా లు చేయండి… మే ఫ్యామిలీ నస్నం అయిపోతారు
898,HATE_1899,Hloo ktr garu meru rajagopal Reddy garini Peru petti piliche antha thopa nuvv.........,hate,0,1.0,0.0,Hloo ktr garu meru rajagopal Reddy garini Peru petti piliche antha thopa nuvv,హోలో కేటీఆర్ గారు మేరు రాజగోపాల్ రెడ్డి గారిని పేరు పెట్టి పిలిచే అంత తోప నువ్వ్
899,HATE_1900,Nuvu Am speaker ra babu,hate,0,1.0,0.0,Nuvu Am speaker ra babu,నువు ఏఎం స్పీకర్ రా బాబు
900,HATE_1901,Ktr gudha ninda pogaru,hate,0,1.0,0.0,Ktr gudha ninda pogaru,కేటీఆర్ గూఢ నిండా పొగరు
901,HATE_1902,Mukuu neelaku raayi raja,hate,0,1.0,0.0,Mukuu neelaku raayi raja,ముకు నేలకు రాయి రాజా
902,HATE_1903,Oreymeepartychattaparty .trs,hate,0,1.0,0.0,Oreymeepartychattaparty trs,ఒరేమీపార్టీచట్టపార్టీ ట్రెస్
903,HATE_1904,Ttr dongal trs pata leaders,hate,0,1.0,0.0,Ttr dongal trs pata leaders,టీటీఆర్ డోంగల్ ట్రెస్ పాట లీడర్స్
904,HATE_1905,Jai ktr Anna ....,non-hate,1,0.0,1.0,Jai ktr Anna,జై కేటీఆర్ అన్న
905,HATE_1906,Ktr nuvu ni party lo Valasalu avuthai jagatha mundhu mundhu nuvu ni thandri mathatrame Migultharu Nunu chepindhi jaragakapothe voche election lo nike na votu,hate,0,1.0,0.0,Ktr nuvu ni party lo Valasalu avuthai jagatha mundhu mundhu nuvu ni thandri mathatrame Migultharu Nunu chepindhi jaragakapothe voche election lo nike na votu,కేటీఆర్ నువు ని పార్టీ లో వలసలు అవుతాయి జగత ముందు ముందు నువు ని తండ్రి మతత్రమే మిగుల్తారు నును చేపింది జరగకపోతే వోచే ఎలక్షన్ లో నైక్ నా వోటు
906,HATE_1907,100rs revanth batch chi chi Congress ki deposit kuda radhu,hate,0,1.0,0.0,100rs revanth batch chi chi Congress ki deposit kuda radhu,౧౦౦ర్స్ రేవంత్ బాచ్ చి చి కాంగ్రెస్ కి డిపాజిట్ కూడా రాదు
907,HATE_1908,విశ్వక్ మంచి పని చేశారు. Tv 9పిచ్చికి మంచి గుణపాఠం.. చెప్పారు,non-hate,1,0.0,1.0,విశ్వక్ మంచి పని చేశారు Tv 9పిచ్చికి మంచి గుణపాఠం చెప్పారు,విశ్వక్ మంచి పని చేశారు టీవీ ౯పిచ్చికి మంచి గుణపాఠం చెప్పారు
908,HATE_1909,"నాగవల్లి గారి మాట తీరు,ప్రవర్తన,సరిగ్గా లేకపోవడం వల్లనే హీరో విశ్వక్ అలా రీయక్ట్ అవ్వాల్సి వచ్చింది..",non-hate,1,0.0,1.0,నాగవల్లి గారి మాట తీరుప్రవర్తనసరిగ్గా లేకపోవడం వల్లనే హీరో విశ్వక్ అలా రీయక్ట్ అవ్వాల్సి వచ్చింది,నాగవల్లి గారి మాట తీరుప్రవర్తనసరిగ్గా లేకపోవడం వల్లనే హీరో విశ్వక్ అలా రీయక్ట్ అవ్వాల్సి వచ్చింది
909,HATE_1910,తలసాని గారు మాకు మీ మీద ఉన్న గౌరవం తగ్గించుకోకండి,non-hate,1,0.0,1.0,తలసాని గారు మాకు మీ మీద ఉన్న గౌరవం తగ్గించుకోకండి,తలసాని గారు మాకు మీ మీద ఉన్న గౌరవం తగ్గించుకోకండి
910,HATE_1911,devi nagavalli oka dogga munda media medha cheddha peru testhundhi,hate,0,1.0,0.0,devi nagavalli oka dogga munda media medha cheddha peru testhundhi,దేవి నాగవల్లి ఒక దొగ్గ ముండా మీడియా మేధ చేద్దా పేరు తెస్తుంది
911,HATE_1912,"మీడియా వాళ్ళు ప్రజలకోసం పని చేయండి, మీ ప్రయోజనాలకోసం సెలెబ్రిటీల వెంబడి పడితే జరిగే పరిణామాలు ఇలానే ఉంటాయి.",non-hate,1,0.0,1.0,మీడియా వాళ్ళు ప్రజలకోసం పని చేయండి మీ ప్రయోజనాలకోసం సెలెబ్రిటీల వెంబడి పడితే జరిగే పరిణామాలు ఇలానే ఉంటాయి,మీడియా వాళ్ళు ప్రజలకోసం పని చేయండి మీ ప్రయోజనాలకోసం సెలెబ్రిటీల వెంబడి పడితే జరిగే పరిణామాలు ఇలానే ఉంటాయి
912,HATE_1913,Chinna herola mida Chinna cinemala midane mi prathapam...Devi is now playing Lady Victim Card  against Viswak Anna...We All Public should support him...Stay strong Anna...we are there...we will make ur movie to go well...,non-hate,1,0.0,1.0,Chinna herola mida Chinna cinemala midane mi prathapamDevi is now playing Lady Victim Card against Viswak AnnaWe All Public should support himStay strong Annawe are therewe will make ur movie to go well,చిన్న హీరోల మిద చిన్న సినిమాల మిదనే మి ప్రతాపందేవి ఐఎస్ నౌ ప్లేయింగ్ లేడీ విక్టిమ్ కార్డ్ అగైన్స్ట్ విశ్వక్ అన్నవే ఆల్ పబ్లిక్ షౌల్డ్ సపోర్ట్ హింస్టే స్ట్రాంగ్ అన్నవే ఆర్ థెరెవే విల్ మేక్ ఉర్ మూవీ టో గో వెల్
913,HATE_1914,RGV గారు మంచి క్లారిటీ గ ఉన్నారు తేర వెనక  ప్రతిఒక్కరూ చేసేపని ఈయన తేర ముందు చేస్తున్నారు అంతే,non-hate,1,0.0,1.0,RGV గారు మంచి క్లారిటీ గ ఉన్నారు తేర వెనక ప్రతిఒక్కరూ చేసేపని ఈయన తేర ముందు చేస్తున్నారు అంతే,ఆర్జీవీ గారు మంచి క్లారిటీ గ ఉన్నారు తేర వెనక ప్రతిఒక్కరూ చేసేపని ఈయన తేర ముందు చేస్తున్నారు అంతే
914,HATE_1915,"TV9: moddalo ethics, nijathyi ni memu pattinchamu",hate,0,1.0,0.0,TV9 moddalo ethics nijathyi ni memu pattinchamu,టీవీ౯ మొడ్డలో ఎథిక్స్ నిజత్యి ని మేము పట్టించము
915,HATE_1916,devi Anni adugu bed room lo evaru first,hate,0,1.0,0.0,devi Anni adugu bed room lo evaru first,దేవి అన్ని అడుగు బెడ్ రూమ్ లో ఎవరు ఫర్స్ట్
916,HATE_1917,"RK గారు, సగం మీరే మాట్లాడేస్తున్నారు, దయచేసి అవతలివాళ్ళని పూర్తి గా మాట్లాడనీయండి.
",non-hate,1,0.0,1.0,RK గారు సగం మీరే మాట్లాడేస్తున్నారు దయచేసి అవతలివాళ్ళని పూర్తి గా మాట్లాడనీయండి,ర్క్ గారు సగం మీరే మాట్లాడేస్తున్నారు దయచేసి అవతలివాళ్ళని పూర్తి గా మాట్లాడనీయండి
917,HATE_1918,"మంచి నటులు బ్రహ్మాజీ గారు..
",hate,0,1.0,0.0,మంచి నటులు బ్రహ్మాజీ గారు,మంచి నటులు బ్రహ్మాజీ గారు
918,HATE_1919,lanja rhea thana acting appi nijam opukvaali thanu thana moddalo acting,hate,0,1.0,0.0,lanja rhea thana acting appi nijam opukvaali thanu thana moddalo acting,లంజా రియా తన యాక్టింగ్ అప్పి నిజం ఓపుక్వాలి తను తన మొడ్డలో యాక్టింగ్
